po_line_id,supplier_id,supplier_country,category,order_date,ack_date,promised_date,requested_lead_time_days,quantity,unit_price,total_value,incoterms,shipping_mode,destination_region,payment_terms_days,is_rush_order,price_dev_from_supplier_avg,supplier_open_po_count,supplier_on_time_rate_trailing365,supplier_mean_delay_trailing365,supplier_n_orders_trailing365,actual_delivery_date,delay_days,is_late
PO-0035798,SUP-0043,BR,Raw Materials,2025-06-13,2025-06-14,2025-06-29,15,197,19.5,3840.75,CIF,Sea,NA-East,45,0,-0.374,0,0.8785046728971962,2.542056074766355,107,2025-06-29,0,0
PO-0007487,SUP-0142,VN,Custom Fabrication,2025-06-13,2025-06-13,2025-08-01,49,421,1382.66,582100.61,FOB,Air,NA-East,60,0,0.555,11,0.6593406593406593,-1.879120879120879,91,2025-07-26,-6,0
PO-0000227,SUP-0106,IN,Chemicals,2025-06-15,2025-06-16,2025-07-02,16,380,19.63,7459.13,FOB,Air,EU-East,45,0,-1.187,1,0.7209302325581395,0.7325581395348837,86,2025-06-28,-4,0
PO-0018142,SUP-0013,PL,Raw Materials,2025-06-06,2025-06-08,2025-06-17,9,349,13.82,4824.57,DDP,Air,NA-West,45,1,-0.719,4,0.7816091954022988,2.1494252873563218,87,2025-06-25,8,1
PO-0020657,SUP-0130,US,Electronics,2025-06-08,2025-06-11,2025-07-01,20,71,327.57,23257.62,EXW,Road,EU-West,45,0,0.436,6,0.7794117647058824,-0.39705882352941174,68,2025-07-01,0,0
PO-0018711,SUP-0000,DE,Custom Fabrication,2025-06-16,2025-06-16,2025-08-03,48,360,1831.47,659329.43,CIF,Sea,LATAM,60,0,1.324,11,0.5463917525773196,18.432989690721648,97,2025-08-25,22,1
PO-0032874,SUP-0096,MX,Packaging,2025-06-15,2025-06-15,2025-06-24,9,299,4.56,1363.98,DDP,Sea,LATAM,60,0,-0.963,1,0.6794871794871795,2.448717948717949,78,2025-06-23,-1,0
PO-0004151,SUP-0037,IN,Raw Materials,2025-06-16,2025-06-19,2025-06-30,11,433,0.95,411.97,DDP,Rail,EU-West,30,0,-1.664,6,0.8482142857142857,-0.35714285714285715,112,2025-06-30,0,0
PO-0038977,SUP-0148,MX,Custom Fabrication,2024-07-11,2024-07-11,2024-08-16,36,489,427.08,208844.34,EXW,Rail,APAC,30,0,-1.103,12,0.8681318681318682,0.3956043956043956,91,2024-08-08,-8,0
PO-0025501,SUP-0121,VN,Electronics,2025-06-04,2025-06-07,2025-07-13,36,114,488.21,55655.76,CIF,Rail,APAC,45,0,1.407,2,0.7659574468085106,0.46808510638297873,47,2025-07-06,-7,0
PO-0006455,SUP-0050,IN,MRO,2024-01-23,2024-01-24,2024-01-31,7,380,89.17,33885.81,DDP,Road,NA-East,30,0,-0.876,2,0.8207547169811321,0.27358490566037735,106,2024-01-31,0,0
PO-0024460,SUP-0043,BR,Raw Materials,2023-12-11,2023-12-14,2023-12-23,9,12,1.88,22.59,CIF,Air,EU-West,60,1,-1.617,7,0.9111111111111111,0.3333333333333333,90,2024-01-05,13,1
PO-0009100,SUP-0047,BR,Chemicals,2023-12-26,2023-12-29,2024-01-10,12,56,24.54,1374.04,EXW,Rail,APAC,90,0,-0.881,6,0.5142857142857142,15.928571428571429,70,2024-01-07,-3,0
PO-0017413,SUP-0056,VN,Raw Materials,2023-04-27,2023-04-29,2023-05-12,13,282,51.76,14596.36,CIF,Road,EU-West,90,0,1.426,5,0.9090909090909091,-0.36363636363636365,22,2023-05-11,-1,0
PO-0006626,SUP-0136,PL,Custom Fabrication,2024-07-09,2024-07-11,2024-08-18,38,70,1073.7,75159.24,FOB,Sea,EU-West,90,0,-0.023,13,0.927710843373494,-4.289156626506024,83,2024-08-10,-8,0
PO-0010691,SUP-0054,DE,MRO,2024-01-15,2024-01-16,2024-01-23,7,186,205.32,38188.81,EXW,Air,NA-East,90,0,0.606,1,0.8596491228070176,-0.16666666666666666,114,2024-01-22,-1,0
PO-0005496,SUP-0020,VN,Electronics,2024-12-04,2024-12-05,2024-12-23,18,330,151.19,49891.22,FOB,Road,EU-West,30,0,-0.649,1,0.8225806451612903,3.9516129032258065,62,2024-12-26,3,1
PO-0020974,SUP-0012,PL,MRO,2025-04-29,2025-04-30,2025-05-08,8,291,300.98,87585.92,CIF,Air,EU-East,45,0,1.578,1,0.8956521739130435,-0.3565217391304348,115,2025-05-07,-1,0
PO-0005766,SUP-0082,IN,Electronics,2024-04-01,2024-04-02,2024-04-22,20,235,69.36,16299.32,EXW,Sea,APAC,90,0,-1.319,3,0.6867469879518072,-0.024096385542168676,83,2024-04-22,0,0
PO-0009937,SUP-0011,VN,MRO,2025-05-27,2025-05-28,2025-06-04,7,44,244.32,10750.11,CIF,Sea,APAC,30,0,0.956,2,0.7652173913043478,0.1565217391304348,115,2025-06-03,-1,0
PO-0028087,SUP-0113,VN,Chemicals,2024-07-17,2024-07-20,2024-08-10,21,366,9.73,3561.83,EXW,Air,EU-East,60,0,-1.205,2,0.5631067961165048,2.5145631067961167,103,2024-08-06,-4,0
