risk_probability,risk_tier,recommended_action
0.6401951785363673,Critical,Escalate: evaluate alternate sourcing / expedite fees; alert downstream planning to adjust schedule or safety stock.
0.4954089913610623,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.5429019378357365,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.47392723383946095,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.4480581812223796,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.3794517082133284,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.29566975232852677,Medium,Automated supplier check-in email.
0.42282344817407846,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.5707422757248815,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.42789143363975846,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.43312243140460926,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.634542295227113,Critical,Escalate: evaluate alternate sourcing / expedite fees; alert downstream planning to adjust schedule or safety stock.
0.38139508207667905,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.34220032495721786,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.30168554247414947,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.6621163265172397,Critical,Escalate: evaluate alternate sourcing / expedite fees; alert downstream planning to adjust schedule or safety stock.
0.4016922368378164,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.4493590936822592,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.3942713449348449,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.5523933844674007,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.5512195402242008,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.6482951910396579,Critical,Escalate: evaluate alternate sourcing / expedite fees; alert downstream planning to adjust schedule or safety stock.
0.36850944882203196,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.4229779021202703,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.36998701812922885,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.5152806621159289,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.5735948207837442,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.4293269852915173,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.3041669059068006,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.4447127117923297,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.3160125892969278,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.5533040218199854,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.3571132855412129,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.5932024050372711,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.4482739975421247,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.29157686989092985,Medium,Automated supplier check-in email.
0.4635433831258838,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.628094927382703,Critical,Escalate: evaluate alternate sourcing / expedite fees; alert downstream planning to adjust schedule or safety stock.
0.4467561937822795,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.4403722407972138,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.5214986947256737,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.3002390484739617,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.35982303535977256,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.4057217956448187,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.5062585928771877,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.6044740408898791,Critical,Escalate: evaluate alternate sourcing / expedite fees; alert downstream planning to adjust schedule or safety stock.
0.2861616579335868,Medium,Automated supplier check-in email.
0.4291521354419813,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.3569123567209817,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.6117987430981342,Critical,Escalate: evaluate alternate sourcing / expedite fees; alert downstream planning to adjust schedule or safety stock.
0.6157150789649152,Critical,Escalate: evaluate alternate sourcing / expedite fees; alert downstream planning to adjust schedule or safety stock.
0.49795241522538747,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.6895020846909166,Critical,Escalate: evaluate alternate sourcing / expedite fees; alert downstream planning to adjust schedule or safety stock.
0.49800926583480853,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.28012331102628757,Medium,Automated supplier check-in email.
0.30991041610289477,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.4915257547348408,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.7131408455899143,Critical,Escalate: evaluate alternate sourcing / expedite fees; alert downstream planning to adjust schedule or safety stock.
0.4229825576807336,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.3312745349505108,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.30422675104722735,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.6103370830697739,Critical,Escalate: evaluate alternate sourcing / expedite fees; alert downstream planning to adjust schedule or safety stock.
0.28143825331249767,Medium,Automated supplier check-in email.
0.29386862066774544,Medium,Automated supplier check-in email.
0.37206537325050837,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.6341655708992422,Critical,Escalate: evaluate alternate sourcing / expedite fees; alert downstream planning to adjust schedule or safety stock.
0.49491609477552484,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.39924170946213017,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.3136831768559849,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.7097952987769484,Critical,Escalate: evaluate alternate sourcing / expedite fees; alert downstream planning to adjust schedule or safety stock.
0.4858389840903234,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.39504170064863886,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.30471769027545564,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.41006239028519725,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.6799565847212313,Critical,Escalate: evaluate alternate sourcing / expedite fees; alert downstream planning to adjust schedule or safety stock.
0.6317598909818943,Critical,Escalate: evaluate alternate sourcing / expedite fees; alert downstream planning to adjust schedule or safety stock.
0.556796749995205,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.5085386408822546,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.4009023406548806,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.5299392708126542,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.5755673464682981,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.41596944127816227,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.5167633874068972,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.42261286277917753,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.7944449145420784,Critical,Escalate: evaluate alternate sourcing / expedite fees; alert downstream planning to adjust schedule or safety stock.
0.4754774537819482,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.5071839438097108,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.43998626955398196,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.38059339347701615,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.377683603378769,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.49100592781061253,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.7126040767719228,Critical,Escalate: evaluate alternate sourcing / expedite fees; alert downstream planning to adjust schedule or safety stock.
0.3946622862925919,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.48950985092215765,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.3044280185917425,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.4197520710789448,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
0.42075455877182855,High,Buyer follow-up call with supplier; evaluate expedite shipping quote.
