feature,mean_abs_shap
supplier_on_time_rate_trailing365,0.289457581476925
is_rush_order,0.09546561929004474
supplier_mean_delay_trailing365,0.04665973651044383
is_quarter_end,0.0439532409560599
supplier_open_po_count,0.04307771340197318
supplier_n_orders_trailing365,0.030378239055861976
category,0.02625877642545839
is_holiday_period,0.021481490166282445
requested_lead_time_days,0.01940342270344595
supplier_country,0.015018347721703476
price_dev_from_supplier_avg,0.011856380408008325
unit_price,0.009115939154104248
total_value,0.008399013904401792
quantity,0.0053604255661716975
ack_month,0.0051592557183790565
shipping_mode,0.004273699869345316
incoterms,0.004214679324419877
ack_day_of_week,0.004030030642251645
destination_region,0.004009065232286873
payment_terms_days,0.003527524751467821
is_new_supplier,0.0
